Book_name,Author_name,Duration
Fragments,By: Nyla K,Length: 21 hrs and 53 mins
Oberon’s Bathtime Stories,By: Kevin Hearne,Length: 4 hrs and 29 mins
Farsight: Blade of Truth,By: Phil Kelly,Length: 13 hrs and 13 mins
Feral Mage,By: Chase Kilgore,Length: 10 hrs and 5 mins
Cardinal Wolsey,By: Mandell Creighton,Length: 6 hrs and 28 mins
The Way We Collide,By: Tia Louise,Length: 9 hrs and 28 mins
Notes on Being a Man,By: Scott Galloway,Length: 8 hrs
Three to Fall,By: Elle Thorpe,Length: 10 hrs and 28 mins
Steadfast Hand,By: M. Tress,Length: 12 hrs and 3 mins
Hand of Fate,"By: J.N. Chaney, Terry Maggert",Length: 10 hrs and 14 mins
The Complete John Broadway Omnibus,By: John Broadway,Length: 55 hrs and 17 mins
The Assassin and the Desert,By: Sarah J. Maas,Length: 2 hrs and 55 mins
The Best Man,"By: Malcolm D. Lee, Jayne Allen",Length: 8 hrs
Champions Never Quit,By: Jacob Smith,Length: 3 hrs and 46 mins
How Countries Go Broke,By: Ray Dalio,Length: 9 hrs
"Azarinth Healer, Book Five",By: Rhaegar,Length: 20 hrs and 18 mins
Twelve Months,By: Jim Butcher,Length: 15 hrs
The Essence of Christianity,By: Ludwig Feuerbach,Length: 13 hrs and 57 mins
The Last Invention,By: Ethan Vale,Length: 10 hrs and 16 mins
10 Ways to Accidentally Fall in Love,By: Emmy Sanders,Length: 9 hrs and 18 mins
"Love, Lies, and Secrets",By: Yana Feldman,Length: 1 hr and 31 mins
The Art of Mastering Effectiveness,By: Jacob Smith,Length: 3 hrs and 40 mins
Human Omega: Married to the Barbarian Prince,By: Eileen Glass,Length: 17 hrs and 48 mins
Odyssey,By: Stephen Fry,Length: 10 hrs and 36 mins
Path of the Berserker 4: A Daopocalypse Progression Fantasy,By: Rick Scott,Length: 15 hrs and 32 mins
A Brief History of Chronomancy,By: Andrew Rowe,Length: 15 hrs and 14 mins
"The End of The End (Zombie Fallout, Book 25)",By: Mark Tufo,Length: Not Yet Known
Rewrite My Heart,By: Mona Zughbi,Length: 1 hr and 47 mins
Gallipoli Diary,By: John Graham Gillam,Length: 12 hrs and 5 mins
"Apocalypse: Regression, Book 6","By: R.A. Mejia, Charles Dean",Length: 9 hrs and 19 mins
Sunnyside,By: Rob Dircks,Length: 6 hrs and 17 mins
Star Wars: The High Republic: Into the Light,By: Claudia Gray,Length: 9 hrs and 57 mins
He Who Fights with Monsters 12: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 20 hrs and 26 mins
Return to Sender,By: Craig Johnson,Length: 11 hrs and 45 mins
Whispers and Wildfire,By: Claire Kingsley,Length: 10 hrs and 23 mins
Gateway,By: Craig Alanson,Length: 21 hrs and 40 mins
Bridesmaid by Chance,By: Meghan Quinn,Length: 14 hrs and 38 mins
Vagabond,By: Tim Curry,Length: 9 hrs
Hero Support 2,By: Stoham Baginbott,Length: 6 hrs and 27 mins
The Richest Man in Babylon,By: George S. Clason,Length: 3 hrs and 31 mins
The Honeymoon,By: Jane E. James,Length: 7 hrs and 45 mins
Cripps the Carrier,By: Richard Doddridge Blackmore,Length: 13 hrs and 39 mins
The Succubi,By: Apollos Thorne,Length: 14 hrs and 28 mins
Landon,By: Maryann Jordan,Length: 8 hrs and 25 mins
Medicare Mama's Guide to Medicare and Social Security Retirement,By: Sylvia Gordon,Length: 9 hrs and 46 mins
The Widow,By: John Grisham,Length: 11 hrs and 30 mins
Speak and Be Heard,By: DANIEL RIFFLE,Length: 4 hrs and 33 mins
The Hurricane Hunters,By: Ivan Ray Tannehill,Length: 9 hrs and 11 mins
Rasputin and the Russian Revolution,By: Princess Catherine Radziwill,Length: 6 hrs and 46 mins
The Ultimate Keto Cookbook for Beginners 2025,By: Leon Heaney,Length: 7 hrs and 16 mins
The Bachelors' Club,By: Israel Zangwill,Length: 9 hrs and 39 mins
Silver Borne (Dramatized Adaptation),By: Patricia Briggs,Length: 6 hrs and 48 mins
Great Tours: Ancient Cities of the Mediterranean,"By: Darius Arya, The Great Courses",Length: 11 hrs and 32 mins
Rise of the Living Forge 3,By: Actus,Length: 21 hrs and 11 mins
Jameson,By: Anna Hackett,Length: 4 hrs and 46 mins
The Unquiet Grave,By: Dervla McTiernan,Length: 11 hrs and 58 mins
The Art of Winning,By: Bill Belichick,Length: 9 hrs
The Secrets That They Keep,"By: J. S Donovan, Skylar Finn",Length: 25 hrs and 41 mins
Star Wars: Master of Evil,By: Adam Christopher,Length: 13 hrs
Cher: Part Two,By: Cher,Length: Not Yet Known
House of Flame and Shadows (Part 2 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Length: 12 hrs
Love Novels,By: Terrell Brown,Length: 4 hrs and 13 mins
Onyx Storm (Part 1 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 9 hrs
Online Money-Making Lesson Number 1,By: NICOLE SCOTT,Length: 4 hrs and 14 mins
Severed Heart: The Birth of a Warrior,By: Kate Stewart,Length: 24 hrs and 43 mins
Age of Expansion,By: Jez Cajiao,Length: 23 hrs and 52 mins
The Golden,By: Shawna Williams,Length: 4 hrs and 9 mins
