date,home_team,scores,away_team
16-08-2024,Arsenal,2 - 0,Wolves
23-08-2024,Aston Villa,0 - 2,Arsenal
30-08-2024,Arsenal,1 - 1,Brighton
14-09-2024,Tottenham,0 - 1,Arsenal
21-09-2024,Man City,2 - 2,Arsenal
27-09-2024,Arsenal,4 - 2,Leicester
04-10-2024,Arsenal,3 - 1,Southampton
18-10-2024,Bournemouth,2 - 0,Arsenal
26-10-2024,Arsenal,2 - 2,Liverpool
01-11-2024,Newcastle,1 - 0,Arsenal
09-11-2024,Chelsea,1 - 1,Arsenal
22-11-2024,Arsenal,3 - 0,Nott'm Forest
29-11-2024,West Ham,2 - 5,Arsenal
03-12-2024,Arsenal,2 - 0,Man United
07-12-2024,Fulham,1 - 1,Arsenal
13-12-2024,Arsenal,0 - 0,Everton
20-12-2024,Crystal Palace,1 - 5,Arsenal
26-12-2024,Arsenal,1 - 0,Ipswich
31-12-2024,Brentford,1 - 3,Arsenal
03-01-2025,Brighton,1 - 1,Arsenal
14-01-2025,Arsenal,2 - 1,Tottenham
17-01-2025,Arsenal,2 - 2,Aston Villa
24-01-2025,Wolves,0 - 1,Arsenal
01-02-2025,Arsenal,5 - 1,Man City
14-02-2025,Leicester,0 - 2,Arsenal
21-02-2025,Arsenal,0 - 1,West Ham
25-02-2025,Nott'm Forest,0 - 0,Arsenal
08-03-2025,Man United,1 - 1,Arsenal
15-03-2025,Arsenal,1 - 0,Chelsea
31-03-2025,Arsenal,2 - 1,Fulham
04-04-2025,Everton,1 - 1,Arsenal
11-04-2025,Arsenal,1 - 1,Brentford
16-08-2024,West Ham,1 - 2,Aston Villa
23-08-2024,Aston Villa,0 - 2,Arsenal
30-08-2024,Leicester,1 - 2,Aston Villa
13-09-2024,Aston Villa,3 - 2,Everton
20-09-2024,Aston Villa,3 - 1,Wolves
28-09-2024,Ipswich,2 - 2,Aston Villa
05-10-2024,Aston Villa,0 - 0,Man United
18-10-2024,Fulham,1 - 3,Aston Villa
25-10-2024,Aston Villa,1 - 1,Bournemouth
02-11-2024,Tottenham,4 - 1,Aston Villa
08-11-2024,Liverpool,2 - 0,Aston Villa
22-11-2024,Aston Villa,2 - 2,Crystal Palace
30-11-2024,Chelsea,3 - 0,Aston Villa
